,dataset_id,dataset_title,format,resource_id,resource_title,url
88,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,48e25c3d-0c9c-4ac9-87e2-83621e3f9e3c,Données des permis de construire pour les locaux - 201808,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-08.csv
89,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,5d162f34-60c4-447a-b41f-6a2deedf685c,Données des permis de construire pour les locaux - 201807,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-07.csv
90,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,53cd1296-4c09-4cfa-9c1b-77219469e3ca,Données des permis de construire pour les logements - 201807,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-07.csv
91,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,fd170bce-4cb3-4c49-8ca9-0fee1c77a2fa,Données des permis de construire pour les locaux - 201806,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-06.csv
92,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,03c24270-75ac-4a06-9648-44b6b5a5e0f7,Données des permis de construire pour les logements - 201806,http://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-06.csv
93,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,156d2c24-6699-4a3a-82da-2a2979d28b03,Données des permis de construire pour les locaux - 201805,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-05.csv
94,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,bbec31fd-8a97-469e-94c3-482c18d5ccaa,Données des permis de construire pour les logements - 201805,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-05.csv
97,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,e6078ff5-0904-4402-a288-bca5e037034d,Données des permis de construire pour les locaux - 201804,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-04.csv
98,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,b326730e-8af7-46ee-a412-00413d7ab7c0,Données des permis de construire pour les locaux - 201803,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-03.csv
99,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,04b575ae-155b-4cba-abd4-1a5e65c36eb3,Données des permis de construire pour les locaux - 201802,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-02-b.csv
100,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,4276fb8e-c671-4ff9-b9ee-615bb25aea72,Données des permis de construire pour les locaux - 201801,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/locaux-2018-01.csv
101,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,55e8d08b-5a18-43b9-ad04-61f1b5853a5e,Données des permis de construire pour les locaux - 201712,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2019-01/locaux-2017-12.csv
103,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,a71ae361-8981-4b7f-ab33-7e0e2b253a67,Données des permis de construire pour les logements - 201804,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-04.csv
104,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,3a57e9ff-7b84-453e-bd7d-7b9e22806056,Données des permis de construire pour les logements - 201803,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-03.csv
105,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,2ddc97c8-c265-4dfe-a6c4-51f214f54871,Données des permis de construire pour les logements - 201802,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-02-b.csv
106,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,4a0bf06f-b49d-485f-bcde-ae88a498ac20,Données des permis de construire pour les logements - 201801,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2018-11/logements-2018-01.csv
107,5a5f4f6c88ee387da4d252a3,Base des permis de construire (Sitadel) ,csv,3e0ba8e6-d820-431e-94fd-d0b9a8dcd3fe,Données des permis de construire pour les logements - 201712,https://www.statistiques.developpement-durable.gouv.fr/sites/default/files/2019-01/logements-2017-12.csv
108,545b55e1c751df52de9b6045,Base officielle des codes postaux,csv,455b9d9f-df83-4310-9acc-d3e3e54c2110,Communes nouvelles,https://datanova.legroupe.laposte.fr/explore/dataset/laposte_commnouv/download/?format=csv&timezone=Europe/Berlin&use_labels_for_header=true
109,545b55e1c751df52de9b6045,Base officielle des codes postaux,csv,554590ab-ae62-40ac-8353-ee75162c05ee,Base officielle des codes postaux,https://datanova.legroupe.laposte.fr/explore/dataset/laposte_hexasmal/download/?format=csv&timezone=Europe/Berlin&use_labels_for_header=true
120,5b7ffc618b4c4169d30727e0,"Base Sirene des entreprises et de leurs établissements (SIREN, SIRET)",csv,cda1eed1-b83b-49aa-8a2a-28d5b400e307,Liste CSV des variables du dessin du fichier StockUniteLegale,https://static.data.gouv.fr/resources/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret-page-en-cours-de-construction/20180920-102145/dessinstockunitelegale.csv
121,5b7ffc618b4c4169d30727e0,"Base Sirene des entreprises et de leurs établissements (SIREN, SIRET)",csv,68033408-e1c6-4e0d-8eb9-c74be82b3467,Liste CSV des variables du dessin du fichier StockUniteLegaleHistorique,https://static.data.gouv.fr/resources/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret-page-en-cours-de-construction/20180920-102932/dessinstockunitelegalehistorique.csv
122,5b7ffc618b4c4169d30727e0,"Base Sirene des entreprises et de leurs établissements (SIREN, SIRET)",csv,d9f2cd00-4507-465f-be6c-e699f2fd8888,Liste CSV des variables du dessin du fichier StockEtablissement,https://static.data.gouv.fr/resources/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret-page-en-cours-de-construction/20180920-103036/dessinstocketablissement.csv
123,5b7ffc618b4c4169d30727e0,"Base Sirene des entreprises et de leurs établissements (SIREN, SIRET)",csv,5a4673d7-0b22-4a0c-b3f2-475e4017f32e,Liste CSV des variables du dessin du fichier StockEtablissementHistorique,https://static.data.gouv.fr/resources/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret-page-en-cours-de-construction/20180920-103108/dessinstocketablissementhistorique.csv
124,5b7ffc618b4c4169d30727e0,"Base Sirene des entreprises et de leurs établissements (SIREN, SIRET)",csv,97d3125e-0c21-457f-8975-1b2045b47248,Liste CSV des variables du dessin du fichier StockEtablissementLiensSuccession,https://static.data.gouv.fr/resources/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/20190402-081928/dessinstocketablissementlienssuccession.csv
158,5489cda0c751df35a24120e7,Compétence territoriale gendarmerie et police nationales,csv,c53cd4d4-4623-4772-9b8c-bc72a9cdf4c2,export-competence-territoriale-pn-gn.csv,https://static.data.gouv.fr/resources/competence-territoriale-gendarmerie-et-police-nationales/20190408-050047/export-competence-territoriale-pn-gn.csv
159,53834c53a3a72906c7ec5c4c,Connaître le potentiel radon de ma commune,csv,a2f7b71c-89ba-491b-8d8a-f4236932325f,Connaître le potentiel radon de ma commune,https://www.data.gouv.fr/s/resources/connaitre-le-potentiel-radon-de-ma-commune/20171106-135123/radon.csv
172,59591ca4a3a7291dcf9c8150,Correspondance Code INSEE - Code Postal,csv,6d3428b2-3893-45a1-b404-2522a4e77d41,Export au format CSV,https://data.iledefrance.fr//explore/dataset/correspondances-code-insee-code-postal/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=true
176,59591ca4a3a7291dcf9c8150,Correspondance Code INSEE - Code Postal,csv,845bd585-7f17-4e88-a158-be3cd6526168,Export au format CSV,https://data.iledefrance.fr/explore/dataset/correspondances-code-insee-code-postal/download?format=csv&timezone=Europe/Berlin&use_labels_for_header=true
